Centroid_Lat,Centroid_Lon,Width,Height,NAIP_URL,Rings_Json
37.728095342062396,-121.42372192318471,81.44438070881434,54.026598943156486,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516867.616903324%2C4541058.679768675%2C-13516786.172522616%2C4541112.706367618&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.72796042192006,-121.42375723397527,69.39207324908696,54.95002273718037,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516865.521528818%2C4541039.228576127%2C-13516796.12945557%2C4541094.178598864&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.72798420003122,-121.42332049999999,50.035337019221856,62.800051513348556,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516807.226156965%2C4541038.650235076%2C-13516757.190819945%2C4541101.4502865905&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.727981300026784,-121.42315500000001,50.03533703144394,58.18239838327162,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516788.802781247%2C4541040.550897645%2C-13516738.767444216%2C4541098.733296027&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.727997181434866,-121.42300564961245,39.44391532329969,70.65007044463016,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516766.881461298%2C4541036.552306321%2C-13516727.437545976%2C4541107.202376765&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.727515646200644,-121.4231851565427,51.86144422397837,58.18203518884454,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516793.07284582%2C4540975.01237756%2C-13516741.211401597%2C4541033.194412749&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.72755355120359,-121.42336280671783,48.93967271470107,68.80260397621196,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516811.387887102%2C4540975.037038068%2C-13516762.448214386%2C4541043.839642045&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.72758580003403,-121.42353720000001,49.670115590492635,65.57028927552972,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516831.166479908%2C4540981.192063686%2C-13516781.496364318%2C4541046.762352961&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.72757092498582,-121.42373425251303,58.07020866515115,66.03203868363731,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516857.302311853%2C4540978.867597019%2C-13516799.232103188%2C4541044.899635702&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
37.727577817514884,-121.42394085518288,63.91375168370575,80.34669108318097,https://map.dfg.ca.gov/arcgis/rest/services/Base_Remote_Sensing/NAIP_2016/ImageServer/exportImage?bbox=-13516883.222987367%2C4540972.680361301%2C-13516819.309235683%2C4541053.027052384&bboxSR=&size=&imageSR=&time=&format=jpgpng&pixelType=U8&noData=&noDataInterpretation=esriNoDataMatchAny&interpolation=+RSP_BilinearInterpolation&compression=&compressionQuality=&bandIds=&mosaicRule=&renderingRule=&f=image,
